HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Image_url,commands,Approve,Reject
3RWO3EJELH386BOG48Y2KY7IOA9P1F,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:22:00 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:36:08 PDT 2015,,,3NKQQ8O39ZZICVAHRQMSJQQA9SGUDM,A21YQXPL0SNNR2,Approved,Mon Oct 12 13:27:35 PDT 2015,Mon Oct 12 13:27:51 PDT 2015,Tue Oct 13 01:27:51 PDT 2015,Mon Oct 12 22:24:25 PDT 2015,,,16,100% (175/175),100% (175/175),100% (175/175),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0735.gif,"Start with any block, if a block is already filled in, keep it filled in</br>Put a block below the last block</br>Put a block below the last block</br>Put a block to the left of the last block</br>Put a block to the right of the last block</br>Put a block below the last block</br>Put a block below the last block</br>Put a block to the right of the last block</br>Put a block above the last block</br>Put a block to the left of the last block</br>Put a block below the last block</br>Put a block to the left of the last block</br>Put a block to the left of the last block",X,
371Q3BEXDH32EZPG40BO7XW5O9TZSU,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:51 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:36:06 PDT 2015,,,326O153BMJS1NZDV1Q7NF847N4MDEO,A3793ZTAPULNYN,Rejected,Mon Oct 12 13:23:30 PDT 2015,Mon Oct 12 13:24:48 PDT 2015,Tue Oct 13 01:24:48 PDT 2015,,Mon Oct 12 22:43:30 PDT 2015,Instructions are not specific and in several cases incorrect,78,0% (0/48),0% (0/48),0% (0/48),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0539.gif,Make a horizontal line of 5 blocks.</br>Place one block under the 3rd one.</br>Place 2 blocks under the 4th and 5th block.,X,
3JU8CV4BRL6T23VHAAWDWUKQHLJOP1,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:45 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:46 PDT 2015,,,3FFJ6VRIL2IJ4KENLX9JLGIGL8I0IP,A3H6EW539UJPJF,Approved,Mon Oct 12 13:13:26 PDT 2015,Mon Oct 12 13:20:11 PDT 2015,Tue Oct 13 01:20:11 PDT 2015,Mon Oct 12 23:43:13 PDT 2015,,,405,100% (25/25),100% (25/25),100% (25/25),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0458.gif,"Start with a row of 4 blocks on the bottom.</br>On the fourth horizontal block, place 4 vertical blocks above it.</br>On the vertical column, place one block to the right of the top block</br>Do the same with the 3rd block from the top",X,
3VGET1QSZ0TC160J5AT6D26RKTD7WQ,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:49 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 19 10:21:49 PDT 2015,,,35K3O9HUAC7YLJRRSW2D387SZHYFEX,A1RT9SQ9D9DLOV,Approved,Mon Oct 12 12:52:50 PDT 2015,Mon Oct 12 12:53:54 PDT 2015,Tue Oct 13 00:53:54 PDT 2015,2015-10-13 07:55:17 UTC,,,64,100% (50/50),100% (50/50),100% (50/50),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0512.gif,"Place a row of four blocks in the center of the grid.</br>Add a single block above the rightmost block of the original row.</br>Add a row of two blocks just below the original row, with the leftmost block of the new row just below the rightmost block of the original row.</br>Add a row of three blocks below the previous row, with the rightmost block of the new row just below the leftmost block of the previous row.",X,
3566S7OX5DDJ05KG8M4LKCGXOG471R,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:30 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:44 PDT 2015,,,3C44YUNSI2J5KQ2LA4NY9K3B1BMDP7,A3GMT4AGHPT362,Approved,Mon Oct 12 13:13:28 PDT 2015,Mon Oct 12 13:14:08 PDT 2015,Tue Oct 13 01:14:08 PDT 2015,Mon Oct 12 22:23:22 PDT 2015,,,40,100% (53/53),100% (53/53),100% (53/53),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0070.gif,Place five blocks in a column</br>Place two blocks in a row to the left of the center (3rd) block from the previous step</br>Place three blocks in a row to the left of the second lowest block from step one,X,
31KPKEKW4A76VS2OPKC1B9JJ2EP0B3,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:22:00 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:36:08 PDT 2015,,,323Q6SJS8JAA5TITIXAJOB45RXVFHI,A11VJ9HVZPID81,Approved,Mon Oct 12 13:37:07 PDT 2015,Mon Oct 12 13:47:05 PDT 2015,Tue Oct 13 01:47:05 PDT 2015,2015-10-13 08:50:16 UTC,,,598,100% (24/24),100% (24/24),100% (24/24),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0736.gif,Place two columns of four blocks in the center of the grid.</br>Place one block to the left of the block that is closest to the top left of the grid.</br>Place one block to the right of the block that is closest to the bottom right of the grid.,X,
3ZCC2DXSD7YZ5VRK7K1UBCB4Z0LYYG,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:29 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:50 PDT 2015,,,3X66WABAJXC1PL7PEWRZ223797W3GH,A3ICWVGCEDRXS0,Approved,Mon Oct 12 11:17:30 PDT 2015,Mon Oct 12 11:18:55 PDT 2015,Mon Oct 12 23:18:55 PDT 2015,2015-10-13 06:20:20 UTC,,,85,100% (26/26),100% (26/26),100% (26/26),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0278.gif,"Start going right, making a horizontal row of four blocks.</br>Go downward three blocks.</br>Go up by one block.</br>Go three blocks left.",X,
3CZH926SIC8L1JW9IC1TOKFHMNHE4W,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:29 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:51 PDT 2015,,,3R8YZBNQ9ICA3T2QJ4Z19XJPKW37QX,A1RX2JBV4VGZ65,Approved,Mon Oct 12 12:54:19 PDT 2015,Mon Oct 12 12:55:19 PDT 2015,Tue Oct 13 00:55:19 PDT 2015,2015-10-13 08:00:17 UTC,,,60,100% (27/27),100% (27/27),100% (27/27),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0287.gif,place five blocks horizontally</br>place three blocks above the rightmost block</br>place one block to the left of the block located one below the topmost block from the rightmost column</br>place one block above the leftmost block,X,
3BA7SXOG1JKBTOOGGLB643U53Y38RA,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:36 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 19 10:21:36 PDT 2015,,,3TOK3KHVJUC7IHPA4R7XKSOP5VN7OR,A38BNV13AV0S8Y,Approved,Mon Oct 12 13:12:42 PDT 2015,Mon Oct 12 13:13:13 PDT 2015,Tue Oct 13 01:13:13 PDT 2015,Mon Oct 12 22:23:39 PDT 2015,,,31,100% (53/53),100% (53/53),100% (53/53),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0143.gif,5 vertical block</br>place one on the left and right of the bottom block</br>place one on the left and 2 on the right of the 2nd to bottom block,X,
3QTFNPMJC6C5YMXBW4U283MZ1ALNZ6,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:26 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:31 PDT 2015,,,3W8CV64QJ3T14JRGFBAREFIUOZTH9L,A2WKZI3JQCE3Z6,Approved,Mon Oct 12 12:49:39 PDT 2015,Mon Oct 12 13:43:48 PDT 2015,Tue Oct 13 01:43:48 PDT 2015,Mon Oct 12 22:24:21 PDT 2015,,,3249,100% (134/134),100% (134/134),100% (134/134),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0004.gif,Place 4 blocks in a row.</br>Move down and place a block under the last block in the prior row.</br>Put a block under that one.</br>Move down and place two blocks with the 2nd under the block in the prior row.</br>Move down and place a block under each one in the prior row.,X,
3G57RS03HHZB2MOT3XP2RBC6PGN25O,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:39 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:36:07 PDT 2015,,,35L9RVQFCPCZOBFJDM5IAB581KSHU1,A2O7H7VXLFN6BP,Approved,Mon Oct 12 11:16:13 PDT 2015,Mon Oct 12 11:17:36 PDT 2015,Mon Oct 12 23:17:36 PDT 2015,Mon Oct 12 22:23:51 PDT 2015,,,83,100% (54/54),100% (54/54),100% (54/54),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0189.gif,Place 1 block near the middle of the grid.,X,
389A2A304OCP5XUU3K8WMTP1KZOC0L,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:47 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 19 10:21:47 PDT 2015,,,3ZY8KE4ISKXCEJ3M122HFBZS6E7VQA,A38K3QQPV8CTPC,Approved,Mon Oct 12 12:21:52 PDT 2015,Mon Oct 12 12:25:55 PDT 2015,Tue Oct 13 00:25:55 PDT 2015,Mon Oct 12 23:43:10 PDT 2015,,,243,100% (22/22),100% (22/22),100% (22/22),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0923.gif,Place five blocks in a horizontal line.</br>Place three blocks horizontally starting on top of the left most block and going right.</br>Place two blocks horizontally starting beneath the bottom left block and going right.,X,
3DTJ4WT8BD914GKY35RJIGSQNIKZET,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:43 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:44 PDT 2015,,,3SPJ033422XCWQUEBN5SP9R0A0LJYK,A1NGGAVIGC9O7V,Approved,Mon Oct 12 13:12:00 PDT 2015,Mon Oct 12 13:12:37 PDT 2015,Tue Oct 13 01:12:37 PDT 2015,Mon Oct 12 22:23:46 PDT 2015,,,37,100% (109/109),100% (109/109),100% (109/109),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0861.gif,Place a vertical column of five blocks. </br>Place one block to the right of the top block.</br>Place one block to the right of the bottom block.</br>Place three blocks to the left of the second block from the bottom.,X,
3AFT28WXLFW1LH8DXF6TNXJEV7OOIP,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:41 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:39 PDT 2015,,,3K772S5NP95IZFIXNMQD6TJ5FWGHE2,A1LRJ2MQD4AMES,Approved,Mon Oct 12 13:35:44 PDT 2015,Mon Oct 12 13:36:40 PDT 2015,Tue Oct 13 01:36:40 PDT 2015,2015-10-13 08:40:18 UTC,,,56,100% (36/36),100% (36/36),100% (36/36),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0836.gif,Stack 4 dots vertically</br>Stack 3 dots vertically to the right of the stack of 4 such that their bottoms are flush</br>Line 2 dots to the right of the middle dot in the stack of 3</br>Put 1 dot below the right most dot in the row of 2 from previous instruction,X,
363A7XIFV4GH5JYCM30U1RP3ESHAVA,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:56 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:43 PDT 2015,,,3R3YRB5GRGXKEO757GVQTPI4OPJAU0,A21YQXPL0SNNR2,Approved,Mon Oct 12 13:25:05 PDT 2015,Mon Oct 12 13:25:23 PDT 2015,Tue Oct 13 01:25:23 PDT 2015,Mon Oct 12 22:23:22 PDT 2015,,,18,100% (175/175),100% (175/175),100% (175/175),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0641.gif,"Start with any block, if a block is already filled in, keep it filled in</br>Put a block to the right of the last block</br>Put a block below the last block</br>Put a block below the last block</br>Put a block below the last block</br>Put a block below the last block</br>Put a block to the left of the last block</br>Put a block above the last block</br>Put a block above the last block</br>Put a block to the left of the last block",X,
3S1L4CQSFXZS9MCMMOVQJ5MHQYTFAR,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:35 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:56 PDT 2015,,,3B837J3LDPQWYS1IKMMC9EPQ3W5RSS,ADJ9I7ZBFYFH7,Approved,Mon Oct 12 11:12:49 PDT 2015,Mon Oct 12 11:14:40 PDT 2015,Mon Oct 12 23:14:40 PDT 2015,Mon Oct 12 22:24:25 PDT 2015,,,111,100% (53/53),100% (53/53),100% (53/53),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0130.gif,"Place a row of five blocks, horizontally.</br>Place one block above the block on the far right.</br>Place two blocks below the block on the far right, creating a column of four blocks.</br>Place two blocks below the block second from the right, creating a column of three blocks.",X,
3L84EBDQ37W91LDMZQZCTWHI363KKC,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:56 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:46 PDT 2015,,,36H9ULYP63O6WZDJ6XD40OKK4PZJFR,A1RT9SQ9D9DLOV,Approved,Mon Oct 12 13:32:45 PDT 2015,Mon Oct 12 13:33:32 PDT 2015,Tue Oct 13 01:33:32 PDT 2015,2015-10-13 08:35:19 UTC,,,47,100% (50/50),100% (50/50),100% (50/50),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0653.gif,"Place a row of four blocks above the center of the grid.</br>Add two single blocks, one above the leftmost block and one above the rightmost block of that row.</br>Add a column of three blocks going downwards from the rightmost block of the original row.</br>Add a single block to the left of the bottommost block of the previous column.",X,
3MQKOF1EE2ISIF1TWNWSDUGN64FWD7,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:27 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 19 10:21:27 PDT 2015,,,3OONKJ5DKDDUKTS0H8JDPUALOL6OBM,A18I566TMVVSFQ,Approved,Mon Oct 12 12:07:00 PDT 2015,Mon Oct 12 12:07:47 PDT 2015,Tue Oct 13 00:07:47 PDT 2015,Mon Oct 12 22:24:09 PDT 2015,,,47,100% (107/107),100% (90/90),100% (90/90),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0017.gif,"Working from bottom to top, first place a row of three blocks in a row, side by side.</br>Over the last row, place a row of five blocks, side by side, letting two of them overhang the left side of the previous row.</br>Over the middle block of the row of five, place a vertical column of two blocks.",X,
